param_classifier__criterion,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,mean_test_score,std_test_score,rank_test_score
gini,,sqrt,1,2,0.9364917092166948,0.01319207974298284,1
gini,,log2,1,2,0.9364917092166948,0.01319207974298284,1
entropy,,,2,5,0.932473936170261,0.017795274312404873,3
entropy,15,,2,5,0.932473936170261,0.017795274312404873,3
gini,15,,2,2,0.9324228746212885,0.015310347400237831,5
gini,,,2,2,0.9324228746212885,0.015310347400237831,5
entropy,,,1,5,0.9320721929662398,0.017744323747619653,7
entropy,15,,1,5,0.9320721929662398,0.017744323747619653,7
entropy,,,2,2,0.9307626941668721,0.01866878993875232,9
entropy,15,,2,2,0.9307626941668721,0.01866878993875232,9
